task_id,semantic_entropy,pass_at_1,prompt_len,SLT,TBG
HumanEval/121,1.0803026852454118,1,146,"[-0.21679688  0.29296875 -1.40625    ...  0.33398438 -0.02966309
 -0.38867188]","[-0.03125     1.0390625  -2.1875     ... -0.38085938 -0.17285156
 -0.44140625]"
HumanEval/122,1.9219773486474643,0,184,"[-1.234375    0.24414062 -2.15625    ... -0.32226562  0.23144531
 -0.6640625 ]","[ 0.328125    0.61328125 -1.484375   ... -0.34765625 -0.26757812
 -0.48632812]"
HumanEval/123,2.226526346836086,1,285,"[ 1.1640625   0.30859375  0.71484375 ...  0.11425781 -0.2265625
 -0.47851562]","[ 0.47265625  0.77734375 -1.0859375  ... -0.11767578 -0.23925781
 -0.52734375]"
HumanEval/124,1.7198228382717693,0,343,"[-0.53515625  0.5703125  -1.5234375  ... -0.30664062 -0.08447266
 -0.06884766]","[ 0.5234375   0.09277344 -2.09375    ... -0.21484375 -0.3046875
 -0.640625  ]"
HumanEval/125,2.173912733893171,1,195,"[ 0.6171875   1.3515625  -0.8359375  ...  0.20898438 -0.16894531
 -0.4296875 ]","[ 0.91796875  0.734375   -2.46875    ... -0.28125    -0.26171875
 -0.51953125]"
HumanEval/126,1.7521426950806733,0,325,"[-0.125      -0.40234375  0.8046875  ... -0.15332031 -0.19921875
 -0.4296875 ]","[ 0.30078125  0.75       -2.328125   ... -0.27148438 -0.22949219
 -0.578125  ]"
HumanEval/127,1.227279670394178,0,317,"[ 0.26757812  0.41992188 -1.0390625  ...  0.45117188 -0.03198242
 -0.34179688]","[ 1.015625    0.359375   -1.5390625  ... -0.16503906 -0.26171875
 -0.49414062]"
HumanEval/128,1.730476925859915,0,169,"[-0.38671875  0.4453125  -1.03125    ...  0.39453125 -0.09521484
 -0.5       ]","[ 0.41015625  0.78125    -1.5703125  ... -0.31054688 -0.15917969
 -0.5703125 ]"
HumanEval/129,0.21562310224826386,0,473,"[ 0.9375      0.8046875  -0.41796875 ... -0.31835938 -0.76171875
 -0.03686523]","[ 0.1953125   0.859375    0.13476562 ... -0.27148438 -0.28125
 -0.56640625]"
HumanEval/130,1.7771989354619497,0,293,"[ 0.31640625  0.90234375  0.421875   ...  0.13183594 -0.27929688
 -0.5234375 ]","[ 0.73828125  1.46875    -1.578125   ... -0.08251953 -0.28710938
 -0.31835938]"
HumanEval/131,2.1582241525362984,0,119,"[ 1.140625    0.09277344 -0.21484375 ...  0.33203125 -0.22070312
 -0.63671875]","[-0.19140625  0.75       -2.046875   ... -0.20214844 -0.11572266
 -0.609375  ]"
HumanEval/132,0.6394175996377663,0,210,"[ 1.046875    0.92578125 -1.859375   ...  0.30273438 -0.03295898
 -0.3828125 ]","[ 0.2421875   0.2734375  -1.921875   ... -0.20898438 -0.23925781
 -0.55859375]"
HumanEval/133,0.5952441574622115,0,215,"[ 0.3671875   0.7578125  -1.2734375  ...  0.3984375   0.00202942
 -0.30273438]","[ 0.31054688  0.71484375 -1.140625   ... -0.2890625  -0.18457031
 -0.48828125]"
HumanEval/134,2.023574978519757,0,221,"[ 0.53125     1.125      -1.5        ...  0.27734375 -0.13769531
 -0.39648438]","[ 0.609375    0.4921875  -2.375      ... -0.24609375 -0.27929688
 -0.609375  ]"
HumanEval/135,2.723172258316509,0,145,"[ 0.921875    0.38867188 -0.921875   ...  0.14453125 -0.25390625
 -0.5       ]","[ 0.16699219  0.71875    -2.140625   ... -0.30859375 -0.265625
 -0.51953125]"
HumanEval/136,1.2710948182919533,1,193,"[ 0.171875    0.2265625  -1.1875     ...  0.25585938 -0.18261719
 -0.25390625]","[-0.05273438  0.921875   -1.921875   ... -0.0189209  -0.18554688
 -0.46289062]"
HumanEval/137,2.1935794418838475,0,199,"[ 0.3203125   0.81640625 -1.4921875  ...  0.38671875 -0.07373047
 -0.30273438]","[ 0.6796875   1.28125    -2.0625     ... -0.16503906 -0.22851562
 -0.5625    ]"
HumanEval/138,2.555175759831558,0,132,"[ 0.67578125  0.13964844 -0.72265625 ...  0.19726562 -0.25
 -0.5390625 ]","[ 0.765625    1.125      -1.6875     ... -0.18164062 -0.33398438
 -0.578125  ]"
HumanEval/139,1.782863629712815,1,147,"[ 0.890625    1.15625    -0.15234375 ...  0.17382812 -0.15429688
 -0.546875  ]","[ 0.1640625   0.69921875 -1.625      ... -0.11035156 -0.39453125
 -0.48632812]"
HumanEval/140,1.4295670389162691,0,164,"[-0.44140625  0.16210938 -1.1953125  ...  0.65234375 -0.05444336
 -0.33203125]","[ 0.16601562  1.0078125  -2.6875     ... -0.24414062 -0.14550781
 -0.60546875]"
HumanEval/141,2.1062400089290034,0,285,"[ 0.83203125  1.2421875  -0.51171875 ...  0.27148438 -0.05517578
 -0.328125  ]","[ 0.58984375  0.01977539 -2.40625    ... -0.26171875 -0.28320312
 -0.59765625]"
HumanEval/142,1.8828962309027992,0,223,"[ 0.26953125  0.34375    -1.3828125  ...  0.43945312 -0.12792969
 -0.40820312]","[ 0.59375     1.015625   -1.15625    ... -0.22265625 -0.16308594
 -0.47070312]"
HumanEval/143,0.8863077605998021,1,209,"[ 0.40429688  0.5546875  -1.34375    ...  0.34179688 -0.10253906
 -0.359375  ]","[ 0.984375    0.19335938 -1.3828125  ... -0.15234375 -0.33398438
 -0.5625    ]"
HumanEval/144,2.1789921286060094,0,206,"[ 0.48046875  0.578125   -1.96875    ...  0.4296875   0.03588867
 -0.42578125]","[ 0.67578125  0.51953125 -2.0625     ... -0.09277344 -0.32226562
 -0.68359375]"
HumanEval/145,2.262772218959546,0,177,"[ 1.8828125   0.07226562 -0.78515625 ... -0.20703125 -0.3046875
 -0.3515625 ]","[ 0.43359375  0.96875    -2.109375   ... -0.33203125 -0.10693359
 -0.42578125]"
HumanEval/146,2.062250988678573,0,171,"[ 0.34375    -0.00585938 -1.5078125  ... -0.48632812  0.14355469
 -0.81640625]","[ 0.67578125  0.59375    -2.640625   ... -0.26171875 -0.15722656
 -0.51953125]"
HumanEval/147,1.29941566303416,1,231,"[ 0.55078125  0.6796875  -0.45703125 ...  0.09667969 -0.21582031
 -0.58203125]","[ 0.8203125   0.7734375  -0.515625   ... -0.24414062 -0.2109375
 -0.38867188]"
HumanEval/148,2.2164457776070874,0,279,"[ 0.5859375   0.81640625 -0.3828125  ...  0.3046875  -0.11425781
 -0.31445312]","[ 0.828125    0.4453125  -1.609375   ... -0.39453125 -0.23339844
 -0.4296875 ]"
HumanEval/149,1.501190583146855,1,251,"[-0.0625      0.55078125 -1.0546875  ...  0.22265625 -0.07714844
 -0.4609375 ]","[ 0.5546875   0.18359375 -2.25       ... -0.26171875 -0.15722656
 -0.5       ]"
HumanEval/150,0.40804183785997317,1,137,"[ 0.42578125  0.75       -1.109375   ...  0.4453125  -0.0456543
 -0.34765625]","[ 0.9921875   0.40820312 -1.5        ... -0.16601562 -0.31835938
 -0.65234375]"
HumanEval/151,2.5829459415686276,0,192,"[ 0.609375    0.10742188 -0.2265625  ...  0.22851562 -0.22167969
 -0.39453125]","[ 0.07226562  0.9453125  -2.09375    ... -0.24414062 -0.2109375
 -0.43554688]"
HumanEval/152,0.6313497283977453,1,289,"[-0.3046875   0.1484375  -2.21875    ...  0.36328125  0.01245117
 -0.28125   ]","[ 1.2265625   1.671875   -2.15625    ... -0.38671875 -0.26171875
 -0.41992188]"
HumanEval/153,2.312976720944912,1,337,"[ 0.37890625 -0.4765625   0.40625    ... -0.17382812 -0.25
 -0.76171875]","[ 1.4921875   1.09375    -1.9609375  ... -0.29101562 -0.13085938
 -0.49804688]"
HumanEval/154,1.5142993980472297,1,185,"[ 0.74609375  0.47265625 -1.703125   ...  0.52734375  0.01092529
 -0.27539062]","[ 1.78125     1.515625   -1.890625   ... -0.31835938 -0.14257812
 -0.67578125]"
HumanEval/155,1.7576727532886185,1,119,"[ 0.06640625  0.25390625 -1.359375   ...  0.29492188 -0.04858398
 -0.23339844]","[ 0.41796875  0.5546875  -2.4375     ... -0.20507812 -0.22070312
 -0.57421875]"
HumanEval/156,1.0913690621805525,0,172,"[-1.5         0.74609375 -0.05078125 ...  0.10351562  0.09521484
 -0.41992188]","[ 0.90234375 -0.44140625 -2.375      ... -0.19335938 -0.30078125
 -0.54296875]"
HumanEval/157,2.133606637153669,1,156,"[ 0.8828125   0.71484375 -0.984375   ...  0.30273438 -0.125
 -0.43945312]","[-0.04296875 -0.1171875  -1.90625    ... -0.33203125 -0.28320312
 -0.69140625]"
HumanEval/158,1.0040209608074715,0,176,"[-0.7734375   0.4921875  -1.109375   ...  0.43554688  0.02697754
 -0.30273438]","[-0.25        0.90234375 -2.359375   ... -0.20898438 -0.21582031
 -0.57421875]"
HumanEval/159,1.1454406236998493,1,372,"[ 0.2265625   0.6484375  -0.921875   ...  0.51171875  0.07226562
 -0.24707031]","[ 0.66796875  0.5390625  -1.3203125  ... -0.14355469 -0.27148438
 -0.375     ]"
HumanEval/160,2.279471883922327,0,276,"[ 1.171875    2.078125   -0.015625   ...  0.1953125  -0.22167969
 -0.5703125 ]","[ 0.66015625  1.109375   -1.3671875  ... -0.12060547 -0.27929688
 -0.55859375]"
HumanEval/161,2.1797503388810666,0,159,"[ 0.79296875  0.97265625 -0.66015625 ...  0.04174805 -0.29101562
 -0.4296875 ]","[ 1.015625    1.125      -1.84375    ... -0.24707031 -0.30078125
 -0.47851562]"
HumanEval/162,1.2746207795775188,1,132,"[ 1.4296875   0.46484375 -1.015625   ...  0.20410156 -0.19335938
 -0.45117188]","[ 1.015625   -1.0390625  -0.21289062 ... -0.16113281 -0.27929688
 -0.60546875]"
HumanEval/163,1.5779338127772347,0,156,"[ 0.375       0.08300781 -1.7578125  ...  0.40234375 -0.09472656
 -0.27148438]","[ 0.7890625   0.73046875 -2.25       ... -0.18945312 -0.20605469
 -0.5546875 ]"
